,model,store,versions,sale
0,纽曼M560,创于佳讯数码专营店,{'256MB': '95.00'},30000.0
2,尼凯恩EN3,尼凯恩旗舰店,{'32MB': '95.00'},20000.0
1,荣耀9x,荣耀官方旗舰店,"{'4+64GB': '1199.00', '6+64GB': '1299.00', '6+128GB': '1899.00', '8+128GB': '2099.00'}",20000.0
4,华为Mate30Pro5G,华为官方旗舰店,"{'8+128GB': '6399.00', '8+256GB': '6899.00', '8+512GB': '7899.00'}",15000.0
5,红米K30,小米官方旗舰店,"{'6+128GB': '1699.00', '8+128GB': '1899.00', '8+256GB': '2199.00'}",15000.0
6,vivoZ5X,vivo官方旗舰店,"{'6+64GB': '1298.00', '6+128GB': '1398.00'}",10000.0
7,红米Note8,小米官方旗舰店,"{'4+64GB': '999.00', '6+64GB': '1099.00', '6+128GB': '1299.00'}",10000.0
8,红米8A,小米官方旗舰店,"{'3+32GB': '699.00', '4+64GB': '699.00'}",10000.0
9,华为Mate305G,华为官方旗舰店,"{'8+128GB': '4999.00', '8+256GB': '5499.00'}",10000.0
11,华为畅享10plus,华为官方旗舰店,"{'4+128GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",10000.0
13,vivoZ5,vivo官方旗舰店,"{'6+128GB': '1598.00', '8+128GB': '2098.00'}",10000.0
15,红米Note8Pro,小米官方旗舰店,"{'6+64GB': '1199.00', '6+128GB': '1399.00', '8+128GB': '1599.00', '8+256GB': '1799.00'}",10000.0
16,iPhone11,苏宁易购官方旗舰店,"{'64GB': '5499.00', '128GB': '5999.00'}",10000.0
17,荣耀8X,荣耀官方旗舰店,"{'6+64GB': '1099.00', '6+128GB': '1549.00'}",10000.0
18,华为nova5Pro,华为官方旗舰店,"{'8+128GB': '2499.00', '8+256GB': '2899.00'}",9500.0
19,天语R7,天语强宇专卖店,{'256MB': '95.00'},9000.0
24,OPPOK5,OPPO官方旗舰店,"{'6+128GB': '1799.00', '8+128GB': '1999.00'}",8500.0
23,VOVGX27,VOVG正品手机店,"{'16GB': '358.00', '32GB': '388.00', '64GB': '438.00'}",8500.0
22,vivoU3x,vivo官方旗舰店,"{'3+64GB': '899.00', '4+64GB': '999.00', '3+32GB': '799.00'}",8500.0
20,红米K20Pro尊享版,小米官方旗舰店,{'12+512GB': '2799.00'},8500.0
21,华为nova5z,华为官方旗舰店,{'6+128GB': '1799.00'},8500.0
25,华为P30,华为官方旗舰店,"{'8+128GB': '3688.00', '8+256GB': '4188.00', '6+128GB': '3388.00'}",8000.0
26,荣耀20,荣耀官方旗舰店,"{'8+128GB': '2399.00', '8+256GB': '2699.00'}",8000.0
27,荣耀V20,荣耀官方旗舰店,{'8+128GB': '2399.00'},8000.0
28,关爱心G1,关爱心旗舰店,{'256MB': '95.00'},8000.0
29,华为畅享9e,华为官方旗舰店,"{'3+32GB': '699.00', '3+64GB': '899.00'}",8000.0
30,iPhone7Plus,喜洋洋工作室,"{'32GB': '1900.00', '128GB': '1950.00', '256GB': '2160.00'}",8000.0
32,iPhone11,洋桃旗舰店,"{'128GB': '5999.00', '64GB': '5499.00'}",7500.0
31,纽曼l6+,纽曼深圳专卖店,{'64MB': '85.00'},7500.0
33,VJVJX21S,华信通数码商城,"{'16GB': '368.00', '32GB': '458.00', '64GB': '518.00'}",7000.0
34,iPhone7Plus,梧桐数码通讯,"{'32GB': '2230.00', '128GB': '2430.00', '256GB': '2570.00'}",7000.0
35,荣耀V30,荣耀官方旗舰店,"{'6+128GB': '3299.00', '8+128GB': '3699.00'}",6500.0
36,华为Mate30,华为官方旗舰店,"{'6+128GB': '3999.00', '8+128GB': '4299.00'}",6500.0
38,誉品Y550,誉品旗舰店,{'256MB': '79.00'},6000.0
39,纽曼L8S,深圳易乐购数码专营店,{'256MB': '95.00'},6000.0
42,小米CC9E,小米官方旗舰店,"{'4+128GB': '1099.00', '6+128GB': '1299.00'}",5500.0
40,荣耀magic2,荣耀官方旗舰店,{'8+128GB': '1799.00'},5500.0
41,皓轩（手机）H5,皓轩手机旗舰店,{'64MB': '49.00'},5500.0
43,iPhone8,喜洋洋工作室,"{'64GB': '2400.00', '256GB': '2900.00'}",5000.0
44,OPPOK3,OPPO官方旗舰店,{'6+64GB': '1399.00'},5000.0
45,荣耀V30PRO,荣耀官方旗舰店,{'8+256GB': '4199.00'},5000.0
46,宝泰尔,旅游数码欢乐坊,"{'32GB': '960.00', '64GB': '1020.00', '128GB': '1120.00'}",5000.0
47,vivoiQOONeo855,vivo官方旗舰店,"{'6+128GB': '2198.00', '8+128GB': '2498.00', '6+64GB': '1998.00'}",5000.0
48,荣耀20i,荣耀官方旗舰店,"{'6+64GB': '1199.00', '6+128GB': '1399.00'}",5000.0
49,iPhone7Plus,时尚苹果 十二年电商,"{'32GB': '1580.00', '128GB': '1650.00', '256GB': '1830.00'}",5000.0
51,长虹L9,慕尚年华数码专营店,{'512MB': '129.00'},4748.0
